condition_id,recipe,si2h6_flow,power,temperature,time_sec,average_thickness,max_thickness,min_thickness,range,standard_deviation,uniformity_pct,dep_rate_a_per_sec,target_gap_a,observed_points_within_spec,valid_point_count,recomputed_average_a,recomputed_min_a,recomputed_max_a,recomputed_std_a,missing_point_count,recomputed_range_a,recomputed_uniformity_pct,average_difference_a
1,FT0524_Pre,200,400,400,30,3304.171429,3697.63,2736.35,961.28,293.6448673,14.54646075,110.1390476,104.1714286,False,49,3304.171429,2736.35,3697.63,293.6448673,0,961.28,14.54646075,-9.094947018e-13
2,FT0524_Pre,200,400,400,30,3337.851429,3729.02,2784.08,944.94,289.0461446,14.15491403,111.2617143,137.8514286,False,49,3337.851429,2784.08,3729.02,289.0461446,0,944.94,14.15491403,1.364242053e-12
3,FT0524_run1,200,400,400,30,3296.565714,3659.95,2836.33,823.62,252.3400503,12.49209134,109.8855238,96.56571429,False,49,3296.565714,2836.33,3659.95,252.3400503,0,823.62,12.49209134,0
4,FT0524_run2,200,400,400,30,3149.418367,3496.77,2718.1,778.67,240.3430675,12.36212388,104.9806122,50.58163265,False,49,3149.418367,2718.1,3496.77,240.3430675,0,778.67,12.36212388,1.364242053e-12
5,FT0524_run3,200,400,400,30,3146.358367,3491.61,2706.81,784.8,240.8389884,12.4715609,104.8786122,53.64163265,False,49,3146.358367,2706.81,3491.61,240.8389884,0,784.8,12.4715609,0
6,FT0524_run4,205,400,400,30,3181.379796,3526.6,2728.98,797.62,244.1615197,12.53575573,106.0459932,18.62020408,False,49,3181.379796,2728.98,3526.6,244.1615197,0,797.62,12.53575573,-1.818989404e-12
7,FT0524_run5,210,400,400,30,3223.674898,3573.55,2783.64,789.91,241.4580393,12.2517007,107.4558299,23.67489796,False,49,3223.674898,2783.64,3573.55,241.4580393,0,789.91,12.2517007,0
8,FT0524_run6,215,400,400,30,3244.727347,3593.38,2797.33,796.05,245.0118638,12.26682422,108.1575782,44.72734694,False,49,3244.727347,2797.33,3593.38,245.0118638,0,796.05,12.26682422,9.094947018e-13
9,FT0524_run7,220,400,400,30,3268.013061,3621.83,2812.7,809.13,246.1764644,12.37954049,108.9337687,68.01306122,False,49,3268.013061,2812.7,3621.83,246.1764644,0,809.13,12.37954049,-4.547473509e-13
10,FT0524_run8,225,400,400,30,3292.342041,3652.04,2817.75,834.29,249.1094024,12.67015987,109.7447347,92.34204082,False,49,3292.342041,2817.75,3652.04,249.1094024,0,834.29,12.67015987,-9.094947018e-13
11,FT0524_run9,195,400,400,30,3137.017755,3477.49,2700.86,776.63,240.0023508,12.37847632,104.5672585,62.9822449,False,49,3137.017755,2700.86,3477.49,240.0023508,0,776.63,12.37847632,0
12,FT0524_run10,190,400,400,30,3090.19449,3428.59,2655.97,772.62,236.1775486,12.5011549,103.006483,109.8055102,False,49,3090.19449,2655.97,3428.59,236.1775486,0,772.62,12.5011549,-4.547473509e-13
13,FT0524_run11,185,400,400,30,3104.914694,3439.26,2677.4,761.86,235.0279571,12.26861404,103.4971565,95.08530612,False,49,3104.914694,2677.4,3439.26,235.0279571,0,761.86,12.26861404,0
14,FT0524_run12,180,400,400,30,3018.003061,3346.56,2600.88,745.68,231.2570601,12.35386421,100.600102,181.9969388,False,49,3018.003061,2600.88,3346.56,231.2570601,0,745.68,12.35386421,0
15,FT0524_run13,175,400,400,30,2988.373878,3309.98,2570.5,739.48,228.1012551,12.37261518,99.61246259,211.6261224,False,49,2988.373878,2570.5,3309.98,228.1012551,0,739.48,12.37261518,0
16,FT0524_run14,175,300,400,30,2238.618072,2488.500977,1904.249937,584.2510398,171.2529955,13.04936843,74.6206024,961.3819279,False,49,2238.618072,1904.249937,2488.500977,171.2529955,0,584.2510398,13.04936843,-4.547473509e-13
17,FT0524_run15,175,300,400,35,2613.781222,2924.675938,2237.925441,686.7504973,204.8852996,13.13710749,74.6794635,586.2187775,False,49,2613.781222,2237.925441,2924.675938,204.8852996,0,686.7504973,13.13710749,9.094947018e-13
18,FT0524_run16,175,300,400,40,2981.46408,3334.707711,2580.653541,754.0541695,229.7335697,12.64570274,74.53660201,218.5359198,False,49,2981.46408,2580.653541,3334.707711,229.7335697,0,754.0541695,12.64570274,0
19,FT0524_run17,165,300,400,40,2894.571429,3252.931,2439.316,813.615,255.7451841,14.05415309,72.36428571,305.4285714,False,49,2894.571429,2439.316,3252.931,255.7451841,0,813.615,14.05415309,0
20,FT0524_run18,155,300,400,40,2721.989796,3101.18075,2242.194,858.98675,266.9545901,15.77865485,68.0497449,478.0102041,False,49,2721.989796,2242.194,3101.18075,266.9545901,0,858.98675,15.77865485,9.094947018e-13
21,FT0524_run19,195,300,300,45,3143.877551,3439.554157,2815.919398,623.634759,183.81059,9.918241867,69.86394558,56.12244898,True,49,3143.877551,2815.919398,3439.554157,183.81059,0,623.634759,9.918241867,1.364242053e-12
22,FT0524_run20,185,300,300,45,3053.255102,3351.554157,2743.088476,608.4656809,180.7196352,9.964212956,67.85011338,146.744898,False,49,3053.255102,2743.088476,3351.554157,180.7196352,0,608.4656809,9.964212956,0
23,FT0524_run21,175,300,300,40,2549.726873,2769.985205,2258.867128,511.1180771,155.3100797,10.02299663,63.74317182,650.2731273,False,44,2552.971059,2258.867128,2769.985205,143.6003698,5,511.1180771,10.01025991,3.244186504
24,FT0524_run22,175,300,300,45,2842.111877,3105.295119,2544.481746,560.8133734,167.0312332,9.866138238,63.15804172,357.8881226,False,49,2842.111877,2544.481746,3105.295119,167.0312332,0,560.8133734,9.866138238,0
25,FT0524_run23,175,300,300,50,3154.614376,3470.215099,2833.027061,637.1880376,187.4829389,10.09930156,63.09228752,45.38562405,True,45,3154.614376,2833.027061,3470.215099,187.4829389,4,637.1880376,10.09930156,4.547473509e-13
