recipe,si2h6_flow,power,temperature,time_sec,average_thickness,max_thickness,min_thickness,range,standard_deviation
FT0524_Pre,200,400,400,30,3304.171429,3697.63,2736.35,961.28,293.6448673
FT0524_Pre,200,400,400,30,3337.851429,3729.02,2784.08,944.94,289.0461446
FT0524_run1,200,400,400,30,3296.565714,3659.95,2836.33,823.62,252.3400503
FT0524_run2,200,400,400,30,3149.418367,3496.77,2718.1,778.67,240.3430675
FT0524_run3,200,400,400,30,3146.358367,3491.61,2706.81,784.8,240.8389884
FT0524_run4,205,400,400,30,3181.379796,3526.6,2728.98,797.62,244.1615197
FT0524_run5,210,400,400,30,3223.674898,3573.55,2783.64,789.91,241.4580393
FT0524_run6,215,400,400,30,3244.727347,3593.38,2797.33,796.05,245.0118638
FT0524_run7,220,400,400,30,3268.013061,3621.83,2812.7,809.13,246.1764644
FT0524_run8,225,400,400,30,3292.342041,3652.04,2817.75,834.29,249.1094024
FT0524_run9,195,400,400,30,3137.017755,3477.49,2700.86,776.63,240.0023508
FT0524_run10,190,400,400,30,3090.19449,3428.59,2655.97,772.62,236.1775486
FT0524_run11,185,400,400,30,3104.914694,3439.26,2677.4,761.86,235.0279571
FT0524_run12,180,400,400,30,3018.003061,3346.56,2600.88,745.68,231.2570601
FT0524_run13,175,400,400,30,2988.373878,3309.98,2570.5,739.48,228.1012551
FT0524_run14,175,300,400,30,2238.618072,2488.500977,1904.249937,584.2510398,171.2529955
FT0524_run15,175,300,400,35,2613.781222,2924.675938,2237.925441,686.7504973,204.8852996
FT0524_run16,175,300,400,40,2981.46408,3334.707711,2580.653541,754.0541695,229.7335697
FT0524_run17,165,300,400,40,2894.571429,3252.931,2439.316,813.615,255.7451841
FT0524_run18,155,300,400,40,2721.989796,3101.18075,2242.194,858.98675,266.9545901
FT0524_run19,195,300,300,45,3143.877551,3439.554157,2815.919398,623.634759,183.81059
FT0524_run20,185,300,300,45,3053.255102,3351.554157,2743.088476,608.4656809,180.7196352
FT0524_run21,175,300,300,40,2549.726873,2769.985205,2258.867128,511.1180771,155.3100797
FT0524_run22,175,300,300,45,2842.111877,3105.295119,2544.481746,560.8133734,167.0312332
FT0524_run23,175,300,300,50,3154.614376,3470.215099,2833.027061,637.1880376,187.4829389
