condition_id,gof_min,gof_max,valid_thickness_count,missing_thickness_count
1,0.9701455869,0.9794889049,49,0
2,0.9700175058,0.9799331594,49,0
3,0.9700511598,0.9795596477,49,0
4,0.9700683611,0.9799065474,49,0
5,0.9701710683,0.9792532354,49,0
6,0.9703172847,0.9798632703,49,0
7,0.970098553,0.9799291679,49,0
8,0.9702328693,0.9799911784,49,0
9,0.9700733307,0.9797757639,49,0
10,0.9701901132,0.9798062918,49,0
11,0.9704398706,0.979596321,49,0
12,0.9700587165,0.9796650148,49,0
13,0.9703908051,0.9798930363,49,0
14,0.9700095071,0.9799719472,49,0
15,0.9700787652,0.9798427802,49,0
16,0.9701989606,0.9798617832,49,0
17,0.9700602792,0.9799833868,49,0
18,0.9700816342,0.9797619328,49,0
19,0.9701572398,0.979976486,49,0
20,0.9706489234,0.9797767421,49,0
21,0.9701604465,0.9798604245,49,0
22,0.970936229,0.9799388365,49,0
23,0.81233,0.9798752708,44,5
24,0.9702206546,0.9797846464,49,0
25,0.9700350169,0.9797055692,45,4
