run,process_time,si2h6_flow,target,stable_interval
Run1,1.0,33.91,200.0,False
Run1,2.0,191.01,200.0,False
Run1,3.0,201.14,200.0,False
Run1,4.0,200.55,200.0,True
Run1,5.0,200.35,200.0,True
Run1,6.0,200.35,200.0,True
Run1,7.0,200.29,200.0,True
Run1,8.0,200.19,200.0,True
Run1,9.0,200.11,200.0,True
Run1,10.0,200.09,200.0,True
Run1,11.0,200.06,200.0,True
Run1,12.0,200.04,200.0,True
Run1,13.0,200.04,200.0,True
Run1,14.0,200.02,200.0,True
Run1,15.0,200.02,200.0,True
Run1,16.0,200.0,200.0,True
Run1,17.0,200.02,200.0,True
Run1,18.0,200.0,200.0,True
Run1,19.0,200.0,200.0,True
Run1,20.0,199.98,200.0,True
Run1,21.0,199.98,200.0,True
Run1,22.0,199.98,200.0,True
Run1,23.0,199.98,200.0,True
Run1,24.0,199.96,200.0,True
Run1,25.0,199.96,200.0,True
Run1,26.0,199.96,200.0,True
Run1,27.0,199.96,200.0,True
Run1,28.0,199.98,200.0,True
Run1,29.0,200.02,200.0,True
Run1,30.0,199.98,200.0,True
Run2,1.0,2.25,200.0,False
Run2,2.0,200.67,200.0,False
Run2,3.0,200.45,200.0,False
Run2,4.0,200.45,200.0,True
Run2,5.0,200.31,200.0,True
Run2,6.0,200.21,200.0,True
Run2,7.0,200.15,200.0,True
Run2,8.0,200.11,200.0,True
Run2,9.0,200.13,200.0,True
Run2,10.0,200.09,200.0,True
Run2,11.0,200.06,200.0,True
Run2,12.0,200.04,200.0,True
Run2,13.0,200.04,200.0,True
Run2,14.0,200.02,200.0,True
Run2,15.0,200.0,200.0,True
Run2,16.0,200.02,200.0,True
Run2,17.0,200.0,200.0,True
Run2,18.0,199.98,200.0,True
Run2,19.0,199.98,200.0,True
Run2,20.0,199.98,200.0,True
Run2,21.0,199.96,200.0,True
Run2,22.0,199.96,200.0,True
Run2,23.0,199.96,200.0,True
Run2,24.0,199.98,200.0,True
Run2,25.0,199.96,200.0,True
Run2,26.0,199.98,200.0,True
Run2,27.0,199.96,200.0,True
Run2,28.0,199.98,200.0,True
Run2,29.0,199.98,200.0,True
Run3,1.0,25.19,200.0,False
Run3,2.0,191.81,200.0,False
Run3,3.0,200.98,200.0,False
Run3,4.0,200.45,200.0,True
Run3,5.0,200.25,200.0,True
Run3,6.0,200.11,200.0,True
Run3,7.0,199.98,200.0,True
Run3,8.0,199.98,200.0,True
Run3,9.0,199.98,200.0,True
Run3,10.0,199.98,200.0,True
Run3,11.0,199.98,200.0,True
Run3,12.0,199.98,200.0,True
Run3,13.0,199.98,200.0,True
Run3,14.0,199.98,200.0,True
Run3,15.0,199.98,200.0,True
Run3,16.0,199.98,200.0,True
Run3,17.0,199.98,200.0,True
Run3,18.0,199.98,200.0,True
Run3,19.0,199.98,200.0,True
Run3,20.0,199.98,200.0,True
Run3,21.0,199.98,200.0,True
Run3,22.0,199.98,200.0,True
Run3,23.0,199.98,200.0,True
Run3,24.0,199.98,200.0,True
Run3,25.0,199.98,200.0,True
Run3,26.0,199.98,200.0,True
Run3,27.0,199.98,200.0,True
Run3,28.0,199.98,200.0,True
Run3,29.0,199.98,200.0,True
Run3,30.0,199.98,200.0,True
Run3,31.0,199.98,200.0,True
