point,x_mm,y_mm,thickness
1,0.0,0.0,3391.45
2,0.0,50.0,3195.33
3,35.3553,35.3553,3296.02
4,50.0,0.0,3448.35
5,35.3553,-35.3553,3546.46
6,0.0,-50.0,3565.36
7,-35.3553,-35.3553,3490.97
8,-50.0,0.0,3337.61
9,-35.3553,35.3553,3197.12
10,0.0,100.0,2969.43
11,38.2683,92.388,3055.52
12,70.7107,70.7107,3208.5
13,92.388,38.2683,3351.06
14,100.0,0.0,3491.57
15,92.388,-38.2683,3602.09
16,70.7107,-70.7107,3664.93
17,38.2683,-92.388,3697.63
18,0.0,-100.0,3694.68
19,-38.2683,-92.388,3643.22
20,-70.7107,-70.7107,3552.05
21,-92.388,-38.2683,3429.85
22,-100.0,0.0,3273.65
23,-92.388,38.2683,3125.03
24,-70.7107,70.7107,2998.12
25,-38.2683,92.388,2953.73
26,0.0,145.0,2770.87
27,37.5288,140.0592,2821.74
28,72.5,125.5737,2912.87
29,102.5305,102.5305,3040.7
30,125.5737,72.5,3171.28
31,140.0592,37.5288,3291.38
32,145.0,0.0,3403.76
33,140.0592,-37.5288,3490.67
34,125.5737,-72.5,3580.9
35,102.5305,-102.5305,3614.7
36,72.5,-125.5737,3648.41
37,37.5288,-140.0592,3658.82
38,0.0,-145.0,3654.07
39,-37.5288,-140.0592,3628.41
40,-72.5,-125.5737,3572.12
41,-102.5305,-102.5305,3495.19
42,-125.5737,-72.5,3383.73
43,-140.0592,-37.5288,3277.49
44,-145.0,0.0,3131.53
45,-140.0592,37.5288,2994.88
46,-125.5737,72.5,2883.17
47,-102.5305,102.5305,2798.67
48,-72.5,125.5737,2762.96
49,-37.5288,140.0592,2736.35
