run,process_time,si2h6_flow,target,stable_interval
Run1,1,33.91,200,False
Run1,2,191.01,200,False
Run1,3,201.14,200,False
Run1,4,200.55,200,True
Run1,5,200.35,200,True
Run1,6,200.35,200,True
Run1,7,200.29,200,True
Run1,8,200.19,200,True
Run1,9,200.11,200,True
Run1,10,200.09,200,True
Run1,11,200.06,200,True
Run1,12,200.04,200,True
Run1,13,200.04,200,True
Run1,14,200.02,200,True
Run1,15,200.02,200,True
Run1,16,200,200,True
Run1,17,200.02,200,True
Run1,18,200,200,True
Run1,19,200,200,True
Run1,20,199.98,200,True
Run1,21,199.98,200,True
Run1,22,199.98,200,True
Run1,23,199.98,200,True
Run1,24,199.96,200,True
Run1,25,199.96,200,True
Run1,26,199.96,200,True
Run1,27,199.96,200,True
Run1,28,199.98,200,True
Run1,29,200.02,200,True
Run1,30,199.98,200,True
Run2,1,2.25,200,False
Run2,2,200.67,200,False
Run2,3,200.45,200,False
Run2,4,200.45,200,True
Run2,5,200.31,200,True
Run2,6,200.21,200,True
Run2,7,200.15,200,True
Run2,8,200.11,200,True
Run2,9,200.13,200,True
Run2,10,200.09,200,True
Run2,11,200.06,200,True
Run2,12,200.04,200,True
Run2,13,200.04,200,True
Run2,14,200.02,200,True
Run2,15,200,200,True
Run2,16,200.02,200,True
Run2,17,200,200,True
Run2,18,199.98,200,True
Run2,19,199.98,200,True
Run2,20,199.98,200,True
Run2,21,199.96,200,True
Run2,22,199.96,200,True
Run2,23,199.96,200,True
Run2,24,199.98,200,True
Run2,25,199.96,200,True
Run2,26,199.98,200,True
Run2,27,199.96,200,True
Run2,28,199.98,200,True
Run2,29,199.98,200,True
Run3,1,25.19,200,False
Run3,2,191.81,200,False
Run3,3,200.98,200,False
Run3,4,200.45,200,True
Run3,5,200.25,200,True
Run3,6,200.11,200,True
Run3,7,199.98,200,True
Run3,8,199.98,200,True
Run3,9,199.98,200,True
Run3,10,199.98,200,True
Run3,11,199.98,200,True
Run3,12,199.98,200,True
Run3,13,199.98,200,True
Run3,14,199.98,200,True
Run3,15,199.98,200,True
Run3,16,199.98,200,True
Run3,17,199.98,200,True
Run3,18,199.98,200,True
Run3,19,199.98,200,True
Run3,20,199.98,200,True
Run3,21,199.98,200,True
Run3,22,199.98,200,True
Run3,23,199.98,200,True
Run3,24,199.98,200,True
Run3,25,199.98,200,True
Run3,26,199.98,200,True
Run3,27,199.98,200,True
Run3,28,199.98,200,True
Run3,29,199.98,200,True
Run3,30,199.98,200,True
Run3,31,199.98,200,True
