point,valid_wafer_count,absolute_deviation_sum,mean_absolute_deviation,x_mm,y_mm,workbook_cached_mad
1,25,1604.437152,64.1774861,0,0,64.85159751
2,25,2331.170391,93.24681563,0,50,92.11737587
3,25,361.7073419,14.46829367,35.35533906,35.35533906,13.33885391
4,25,2727.156754,109.0862702,50,0,110.2157099
5,25,4633.805589,185.3522236,35.35533906,-35.35533906,186.4816633
6,25,5113.742939,204.5497175,0,-50,205.6791573
7,25,3676.102694,147.0441078,-35.35533906,-35.35533906,148.1735475
8,25,609.2491048,24.36996419,-50,0,23.94464747
9,25,2038.780331,81.55121324,-35.35533906,35.35533906,80.42177348
10,25,6397.629497,255.9051799,0,100,254.7757401
11,25,4585.535031,183.4214012,38.26834324,92.38795325,182.2919615
12,25,2259.937881,90.39751523,70.71067812,70.71067812,89.26807547
13,25,599.0221886,23.96088754,92.38795325,38.26834324,24.58841072
14,25,3262.528614,130.5011446,100,0,131.6305843
15,25,5669.443234,226.7777294,92.38795325,-38.26834324,227.9071691
16,25,7264.239061,290.5695624,70.71067812,-70.71067812,291.6990022
17,25,8250.449904,330.0179962,38.26834324,-92.38795325,331.1474359
18,25,7802.284835,312.0913934,0,-100,313.2208332
19,25,6936.100505,277.4440202,-38.26834324,-92.38795325,278.5734599
20,25,4750.231674,190.0092669,-70.71067812,-70.71067812,191.1387067
21,25,1903.440888,76.13763551,-92.38795325,-38.26834324,77.26707527
22,25,861.3705877,34.45482351,-100,0,33.32538374
23,25,3521.205629,140.8482251,-92.38795325,38.26834324,139.7187854
24,25,5749.171013,229.9668405,-70.71067812,70.71067812,228.8374008
25,25,6746.506211,269.8602484,-38.26834324,92.38795325,268.7308087
26,25,9912.917431,396.5166973,0,145,395.3872575
27,25,8903.24093,356.1296372,37.52876154,140.0592448,355.0001974
28,25,7430.956385,297.2382554,72.5,125.5736835,296.1088156
29,25,5335.621859,213.4248744,102.5304833,102.5304833,212.2954346
30,25,3165.181265,126.6072506,125.5736835,72.5,125.4778108
31,25,873.0810494,34.92324198,140.0592448,37.52876154,33.79380221
32,25,1284.510645,51.38042581,145,0,52.50986557
33,25,3487.580698,139.5032279,140.0592448,-37.52876154,140.6326677
34,25,5286.522826,211.460913,125.5736835,-72.5,212.5903528
35,25,6380.127049,255.2050819,102.5304833,-102.5304833,256.3345217
36,25,7469.266998,298.7706799,72.5,-125.5736835,299.9001197
37,24,7153.63469,298.0681121,37.52876154,-140.0592448,299.2446118
38,25,7238.624434,289.5449774,0,-145,290.6744171
39,25,6666.563415,266.6625366,-37.52876154,-140.0592448,267.7919764
40,24,4865.426213,202.7260922,-72.5,-125.5736835,203.902592
41,25,2967.302556,118.6921023,-102.5304833,-102.5304833,119.821542
42,25,876.4884403,35.05953761,-125.5736835,-72.5,36.18897738
43,24,1288.919753,53.70498969,-140.0592448,-37.52876154,52.52848994
44,25,3858.79686,154.3518744,-145,0,153.2224346
45,24,6143.603432,255.9834763,-140.0592448,37.52876154,255.9834763
46,24,8030.414743,334.6006143,-125.5736835,72.5,334.6006143
47,23,8880.06966,386.0899852,-102.5304833,102.5304833,386.0899852
48,24,9917.966107,413.2485878,-72.5,125.5736835,413.2485878
49,24,10085.17965,420.2158187,-37.52876154,140.0592448,420.2158187
