point,x_mm,y_mm,thickness
1,0,0,3391.45
2,0,50,3195.33
3,35.35533906,35.35533906,3296.02
4,50,0,3448.35
5,35.35533906,-35.35533906,3546.46
6,0,-50,3565.36
7,-35.35533906,-35.35533906,3490.97
8,-50,0,3337.61
9,-35.35533906,35.35533906,3197.12
10,0,100,2969.43
11,38.26834324,92.38795325,3055.52
12,70.71067812,70.71067812,3208.5
13,92.38795325,38.26834324,3351.06
14,100,0,3491.57
15,92.38795325,-38.26834324,3602.09
16,70.71067812,-70.71067812,3664.93
17,38.26834324,-92.38795325,3697.63
18,0,-100,3694.68
19,-38.26834324,-92.38795325,3643.22
20,-70.71067812,-70.71067812,3552.05
21,-92.38795325,-38.26834324,3429.85
22,-100,0,3273.65
23,-92.38795325,38.26834324,3125.03
24,-70.71067812,70.71067812,2998.12
25,-38.26834324,92.38795325,2953.73
26,0,145,2770.87
27,37.52876154,140.0592448,2821.74
28,72.5,125.5736835,2912.87
29,102.5304833,102.5304833,3040.7
30,125.5736835,72.5,3171.28
31,140.0592448,37.52876154,3291.38
32,145,0,3403.76
33,140.0592448,-37.52876154,3490.67
34,125.5736835,-72.5,3580.9
35,102.5304833,-102.5304833,3614.7
36,72.5,-125.5736835,3648.41
37,37.52876154,-140.0592448,3658.82
38,0,-145,3654.07
39,-37.52876154,-140.0592448,3628.41
40,-72.5,-125.5736835,3572.12
41,-102.5304833,-102.5304833,3495.19
42,-125.5736835,-72.5,3383.73
43,-140.0592448,-37.52876154,3277.49
44,-145,0,3131.53
45,-140.0592448,37.52876154,2994.88
46,-125.5736835,72.5,2883.17
47,-102.5304833,102.5304833,2798.67
48,-72.5,125.5736835,2762.96
49,-37.52876154,140.0592448,2736.35
